index,station name,station latitude,station longitude
449,E 32 St & Park Ave,40.7457121,-73.98194829
450,E 33 St & 1 Ave,40.74322681432173,-73.97449783980846
451,E 33 St & 5 Ave,40.74765947,-73.98490707
452,E 39 St & 2 Ave,40.74780373,-73.9734419
453,E 39 St & 3 Ave,40.7489006,-73.97604882
454,E 4 St & 2 Ave,40.7262807,-73.98978041
455,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882
456,E 43 St & 2 Ave,40.75022392,-73.97121414
457,E 43 St & 5 Ave,40.754120810779256,-73.98025184869766
458,E 45 St & 3 Ave,40.75255434,-73.97282625
459,E 47 St & 1 Ave,40.75206862,-73.96784384
460,E 47 St & 2 Ave,40.75323098,-73.97032517
461,E 47 St & Park Ave,40.75510267,-73.97498696
462,E 48 St & 3 Ave,40.7546011026,-73.971878855
463,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
464,E 5 St & Avenue C,40.72299208,-73.97995466
465,E 51 St & 1 Ave,40.75455731,-73.96592976
466,E 51 St & 2 Ave,40.755293,-73.967641
467,E 51 St & Lexington Ave,40.75714758,-73.97207836
468,E 52 St & 2 Ave,40.756014,-73.967416
469,E 53 St & 3 Ave,40.75763227739443,-73.96930575370789
470,E 53 St & Lexington Ave,40.75828065,-73.97069431
471,E 53 St & Madison Ave,40.7597108,-73.97402311
472,E 55 St & 2 Ave,40.75797322,-73.96603308
473,E 55 St & Lexington Ave,40.75968085,-73.97031366
474,E 56 St & 3 Ave,40.75934501,-73.96759673
475,E 56 St & Madison Ave,40.761573,-73.972628
476,E 58 St &  1 Ave (NW Corner),40.759125,-73.962658
477,E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478
478,E 58 St & 3 Ave,40.76095756,-73.96724467
479,E 58 St & Madison Ave,40.76302594280519,-73.97209525108337
480,E 59 St & Madison Ave,40.76350532,-73.97109243
481,E 6 St & Avenue B,40.72453734,-73.98185424
482,E 6 St & Avenue D,40.72228087,-73.97668709
483,E 60 St & York Ave,40.759107,-73.959223
484,E 63 St & 3 Ave,40.763954,-73.9646
485,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505
486,E 66 St & Madison Ave,40.76800889305947,-73.96845281124115
487,E 67 St & Park Ave,40.76780080148132,-73.96592080593109
488,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069
489,E 68 St & Madison Ave,40.7691572,-73.96703464
490,E 7 St & Avenue A,40.72621788,-73.98379855
